route_distance_km,traffic_index,weather,vehicle_age_years,package_weight_kg,priority,warehouse_delay_hr,stop_count,weekend,delivery_time_hr
33.3,31.716862746326274,Clear,1,2.98,Standard,0.1943536623034272,7,1,4.71
24.1,42.05787998173473,Clear,7,5.52,Standard,0.26222127572576104,4,1,4.99
22.9,26.864389033112545,Clear,2,2.48,Express,0.43742289054844324,7,0,2.47
22.9,79.06456787616483,Clear,1,6.79,Express,0.0,8,1,5.46
54.7,76.28618308709568,Clear,3,9.88,Standard,0.09757420194049671,13,0,8.11
38.0,53.067613767147705,Clear,5,3.19,Standard,0.0,9,0,6.38
20.1,72.9895425882024,Clear,5,2.29,Standard,1.7421125022244017,7,0,6.2
34.1,89.25926837908888,Clear,3,1.69,Standard,1.2329236746717531,9,0,6.1
29.4,68.5733667968456,Clear,6,4.79,Standard,1.3501818692058223,10,0,7.12
8.6,63.63423531117934,Clear,3,5.69,Standard,1.2121823660793634,6,1,5.56
14.8,58.581094536699574,Rain,8,2.29,Express,0.9168773363339142,6,0,5.86
30.5,66.69095256746631,Clear,8,7.72,Express,1.822476232490396,9,1,7.68
52.1,48.44945091718654,Rain,7,4.54,Standard,0.37246614098778397,10,0,7.93
23.0,50.020554355093964,Clear,2,3.17,Standard,0.8746687587569315,8,0,6.34
19.3,63.116044753825264,Clear,8,3.71,Express,1.3229411794768862,6,0,5.58
27.5,46.47043233712848,Clear,4,1.42,Express,0.0,8,0,4.78
18.7,48.41560588971696,Clear,7,4.76,Express,2.9676122272997842,6,0,7.6
22.2,55.003359963429524,Rain,7,1.5,Standard,0.8199960339443103,7,0,5.49
25.8,75.71093591067525,Clear,7,2.09,Standard,0.8993926154029149,11,0,7.23
14.4,34.612052435926344,Clear,1,2.85,Standard,1.679814622172445,5,0,5.98
39.0,68.6652130486947,Clear,1,8.93,Standard,1.4404687331071566,11,0,9.53
13.1,69.25233543046247,Clear,5,3.52,Standard,0.8266546135775215,4,0,5.6
